Well	Well Name	Well Comment	Dye	Assay	Well Type	Replicate	R Last	dR Last	Rn Last	dRn Last	RLast/RFirst	Threshold (dRn)	Baseline Start Cycle	Baseline End Cycle	Ct (dRn)	Final Call (dRn)	Quantity (copies)	Quantity Avg. (copies)	Quantity SD (copies)	RSq (dRn)	Slope (dRn)	Efficiency (%)	Ct Avg. Treated Ind. (dRn)	Ct SD Treated Ind. (dRn)	Tm Product 1 (-R'(T))	Tm Product 2 (-R'(T))	Tm Product 3 (-R'(T))	Tm Product 4 (-R'(T))	Tm Product 5 (-R'(T))	Tm Product 6 (-R'(T))
A4	 SA0009  2µl 1:10	---	EUB	EUB	Unknown	9	11692	6887.902	2.402	1.389	2.587	0.1356	7	11	16.25	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	16.33	0.08	86.35	N/A	N/A	N/A	N/A	N/A
A5	 SA0009  2µl 1:10	---	EUB	EUB	Unknown	9	8136	4445.147	2.139	1.17	2.148	0.1356	6	9	16.41	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	16.33	0.08	86.35	N/A	N/A	N/A	N/A	N/A
A6	 SA0009  2µl 1:10	---	EUB	EUB	Unknown	9	11280	6308.327	2.606	1.405	2.515	0.1356	4	11	16.33	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	16.33	0.08	86.35	N/A	N/A	N/A	N/A	N/A
B4	 SA0009  2µl 1:100	---	EUB	EUB	Unknown	10	10656	6006.599	2.209	1.221	2.353	0.1356	3	14	19.52	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	19.59	0.07	86.35	N/A	N/A	N/A	N/A	N/A
B5	 SA0009  2µl 1:100	---	EUB	EUB	Unknown	10	9846	5478.166	2.187	1.188	2.245	0.1356	3	15	19.65	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	19.59	0.07	86.35	N/A	N/A	N/A	N/A	N/A
B6	 SA0009  2µl 1:100	---	EUB	EUB	Unknown	10	9025	4743.916	2.209	1.17	2.245	0.1356	2	14	19.59	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	19.59	0.07	86.35	N/A	N/A	N/A	N/A	N/A
C4	 SA0045  2µl 1:10	---	EUB	EUB	Unknown	11	8687	4667.285	2.003	1.072	2.101	0.1356	5	20	26.61	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	26.74	0.32	87.35	N/A	N/A	N/A	N/A	N/A
C5	 SA0045  2µl 1:10	---	EUB	EUB	Unknown	11	8941	5257.758	2.066	1.085	2.45	0.1356	3	21	27.11	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	26.74	0.32	87.35	N/A	N/A	N/A	N/A	N/A
C6	 SA0045  2µl 1:10	---	EUB	EUB	Unknown	11	8482	4355.613	2.129	1.084	2.015	0.1356	4	21	26.51	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	26.74	0.32	87.35	N/A	N/A	N/A	N/A	N/A
D4	 SA0045  2µl 1:100	---	EUB	EUB	Unknown	12	5667	1956.503	1.507	0.512	1.523	0.1356	2	24	30.85	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	30.92	0.09	87.33	N/A	N/A	N/A	N/A	N/A
D5	 SA0045  2µl 1:100	---	EUB	EUB	Unknown	12	5705	1981.889	1.541	0.521	1.536	0.1356	2	23	30.88	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	30.92	0.09	87.33	N/A	N/A	N/A	N/A	N/A
D6	 SA0045  2µl 1:100	---	EUB	EUB	Unknown	12	5344	1709.921	1.57	0.494	1.422	0.1356	3	24	31.03	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	30.92	0.09	87.33	N/A	N/A	N/A	N/A	N/A
A7	 SA0009  2µL 1:10 + 10^7	---	EUB	EUB	Unknown	17	14013	9533.659	3.243	2.159	3.169	0.1356	6	10	14.91	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	15.26	0.47	87.85	N/A	N/A	N/A	N/A	N/A
A8	 SA0009  2µL 1:10 + 10^7	---	EUB	EUB	Unknown	17	9952	5531.916	2.798	1.485	2.349	0.1356	3	11	15.8	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	15.26	0.47	87.85	N/A	N/A	N/A	N/A	N/A
A9	 SA0009  2µL 1:10 + 10^7	---	EUB	EUB	Unknown	17	12845	8720.136	3.09	2.017	3.062	0.1356	2	10	15.08	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	15.26	0.47	87.85	N/A	N/A	N/A	N/A	N/A
B7	 SA0009  2µL 1:100 + 10^7	---	EUB	EUB	Unknown	18	15951	11279.675	3.789	2.648	3.657	0.1356	7	11	14.97	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	14.94	0.39	87.85	N/A	N/A	N/A	N/A	N/A
B8	 SA0009  2µL 1:100 + 10^7	---	EUB	EUB	Unknown	18	13731	9213.884	3.465	2.311	3.453	0.1356	7	11	15.31	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	14.94	0.39	87.85	N/A	N/A	N/A	N/A	N/A
B9	 SA0009  2µL 1:100 + 10^7	---	EUB	EUB	Unknown	18	16213	12121.118	3.785	2.793	3.673	0.1356	6	9	14.54	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	14.94	0.39	87.85	N/A	N/A	N/A	N/A	N/A
C7	 SA0045  2µL 1:10 + 10^7	---	EUB	EUB	Unknown	19	13608	9513.196	3.402	2.315	3.197	0.1356	3	10	15.3	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	15.01	0.42	87.85	N/A	N/A	N/A	N/A	N/A
C8	 SA0045  2µL 1:10 + 10^7	---	EUB	EUB	Unknown	19	13903	10362.01	3.425	2.499	3.262	0.1356	5	8	14.53	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	15.01	0.42	87.85	N/A	N/A	N/A	N/A	N/A
C9	 SA0045  2µL 1:10 + 10^7	---	EUB	EUB	Unknown	19	13118	9042.336	3.38	2.258	3.091	0.1356	3	9	15.18	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	15.01	0.42	87.85	N/A	N/A	N/A	N/A	N/A
D7	 SA0045  2µL 1:100 + 10^7	---	EUB	EUB	Unknown	20	12030	7790.306	3.127	1.947	2.965	0.1356	6	10	15.87	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	15.44	0.37	87.8	N/A	N/A	N/A	N/A	N/A
D8	 SA0045  2µL 1:100 + 10^7	---	EUB	EUB	Unknown	20	13764	9881.287	3.41	2.307	3.283	0.1356	2	10	15.28	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	15.44	0.37	87.83	N/A	N/A	N/A	N/A	N/A
D9	 SA0045  2µL 1:100 + 10^7	---	EUB	EUB	Unknown	20	10929	7521.787	2.999	1.979	2.794	0.1356	5	9	15.18	+	<2 Unique EUB Standards with Reference	No Ct	No Ct	<2 Unique EUB Standards with Reference	<2 Unique EUB Standards with Reference	No Ct for EUB Standards	15.44	0.37	87.83	N/A	N/A	N/A	N/A	N/A
